case_id,category,mtow_kg,payload_kg,cruise_speed_kmh,success,candidates,feasible,rejected,fc,gps,telemetry,receiver,servo,servo_count,bec,power_module,layout,wire_awg,connector,payload_equipment,power_budget_w,mass_g,redundancy_level,score
FW-081,Surveillance,4.1,0.6,58.8,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,18,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,489.0,4,0.8212
FW-082,Training,9.6,1.2,43.5,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,GoPro Hero 11 FPV Camera,18.36,495.5,4,0.82
FW-083,Research,7.8,1.2,63.9,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,490.8,4,0.8071
FW-084,Long Endurance,7.5,1.3,54.6,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,490.8,4,0.8083
FW-085,Agriculture,15.2,2.4,42.2,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST X20 High-Torque Servo,4,Castle Pro 20A BEC,Holybro PM06 100A Module,Dual Redundant Bus,12,XT60 Connector,Heavy Sprayer Valve & Servo,45.76,827.0,4,0.8749
FW-086,Surveillance,8.0,1.0,52.9,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,490.8,4,0.8064
FW-087,Training,5.6,1.0,48.6,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,490.8,4,0.8154
FW-088,Racing,15.7,2.7,55.9,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST X20 High-Torque Servo,4,Castle Pro 20A BEC,Holybro PM06 100A Module,Dual Redundant Bus,12,XT60 Connector,GoPro Hero 11 FPV Camera,29.76,701.0,4,0.8338
FW-089,Cargo,10.2,1.5,57.3,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST X20 High-Torque Servo,4,Castle Pro 20A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,GoPro Hero 11 FPV Camera,29.76,686.5,4,0.8617
FW-090,Long Endurance,11.1,2.1,42.8,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,GoPro Hero 11 FPV Camera,18.36,495.5,4,0.8144
FW-091,Custom,5.5,1.1,44.2,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,490.8,4,0.8158
FW-092,Agriculture,8.1,1.5,54.0,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT60 Connector,Heavy Sprayer Valve & Servo,34.36,618.8,4,0.8649
FW-093,Agriculture,7.8,1.7,48.0,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,Heavy Sprayer Valve & Servo,34.36,616.8,4,0.8462
FW-094,Survey,5.7,1.0,58.8,SUCCESS,8,8,0,Cube Orange+,CubePilot Here3 RTK,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,FLIR Duo Pro R Thermal Camera,22.71,589.8,4,0.8384
FW-095,Custom,6.7,1.3,55.2,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,490.8,4,0.8113
FW-096,Long Endurance,3.1,0.5,55.7,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,18,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,489.0,4,0.8249
FW-097,Racing,5.6,1.1,50.8,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,490.8,4,0.8154
FW-098,Surveillance,6.7,1.0,56.3,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,490.8,4,0.8113
FW-099,Agriculture,12.2,1.7,60.2,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST X20 High-Torque Servo,4,Castle Pro 20A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,Heavy Sprayer Valve & Servo,45.76,812.5,4,0.8432
FW-100,Custom,12.0,2.0,47.9,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST X20 High-Torque Servo,4,Castle Pro 20A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,GoPro Hero 11 FPV Camera,29.76,686.5,4,0.8049
